id,lon,lat,polarity
449,5.2808261,60.3003763,positive
454,-74.0059728,40.7127753,negative
459,-81.801413,27.7519757,positive
461,12.56738,41.87194,negative
466,-105.5108312,39.9613759,neutral
467,-2.2668382,52.2545225,neutral
468,1.297355,52.6308859,positive
475,-93.3465659,37.1467211,negative
476,-3.435973,55.378051,negative
477,-3.435973,55.378051,positive
479,-3.435973,55.378051,negative
481,-122.3044697,49.0504377,negative
486,-1.5523023,53.8044089,negative
488,-5.8493887,43.3619145,negative
489,-1.3080629,51.0576948,negative
490,-95.712891,37.09024,negative
492,-0.798802,51.214321,positive
493,-0.137163,50.82253,positive
496,174.7633315,-36.8484597,positive
497,-104.6188943,50.4452112,positive
499,2.2188068,48.828508,positive
501,-2.7781091,51.3879028,negative
502,-1.706299,55.412744,negative
505,-1.470085,53.381129,positive
507,-6.717104,55.1868773,negative
508,-2.094278,57.149717,neutral
509,77.7065928,13.1986348,negative
511,-1.5490774,53.8007554,negative
512,8.541694,47.3768866,neutral
515,-1.310142,51.059771,neutral
517,-0.1277583,51.5073509,positive
520,-0.137163,50.82253,negative
521,-0.1277583,51.5073509,negative
525,2.213749,46.227638,negative
526,-2.9915726,53.4083714,positive
527,-1.310142,51.059771,positive
531,-2.7044052,53.7632254,positive
538,-1.982919,52.586214,negative
539,-1.2577263,51.7520209,negative
545,-2.2426305,53.4807593,positive
547,-0.1156148,51.4612794,negative
550,13.7768182,45.6495264,negative
551,-0.1277583,51.5073509,negative
556,0.065451,51.196259,neutral
561,-93.0964233,44.9474469,negative
564,-119.4960106,49.8879519,positive
565,-98.4170523,29.5170728,negative
567,73.22068,3.202778,negative
569,8.541694,47.3768866,negative
570,74.9267229,13.2904054,positive
571,4.3088309,52.0793415,negative
572,-2.2426305,53.4807593,positive
573,-6.4923145,54.7877149,negative
574,-99.153286,29.425072,neutral
577,-3.435973,55.378051,negative
578,100.5017651,13.7563309,positive
580,2.1734035,41.3850639,negative
585,174.885971,-40.900557,positive
586,-0.1277583,51.5073509,negative
588,-1.1865868,50.8548464,positive
589,-71.0323194,42.3442041,positive
590,-4.251806,55.864237,negative
591,-6.2603097,53.3498053,positive
593,-94.5194114,45.131328,negative
594,78.96288,20.593684,negative
600,-1.1743197,52.3555177,positive
603,-2.457621,50.6144279,positive
604,-5.93012,54.597285,neutral
612,-1.4746186,52.9225301,positive
617,-0.570409,51.23622,positive
618,-0.3762881,39.4699075,negative
621,6.5665017,53.2193835,negative
624,-75.1370254,40.0812601,neutral
629,-85.632902,44.740147,negative
631,-6.6741744,55.1110355,positive
633,-1.085559,50.783565,positive
634,27.126473,38.3864591,positive
637,-3.435973,55.378051,positive
638,-0.137163,50.82253,negative
641,-3.435973,55.378051,positive
643,-77.355413,25.0479835,neutral
644,-2.58791,51.454513,positive
646,-0.4078058,42.131845,positive
648,-2.2426305,53.4807593,positive
649,-1.470085,53.381129,negative
651,-6.4923145,54.7877149,positive
653,-1.9976066,52.6165017,positive
654,-3.533899,50.718412,negative
659,6.1431577,46.2043907,positive
661,-2.5858894,51.4765341,negative
662,-3.8080783,53.0711149,positive
663,-3.435973,55.378051,positive
664,4.8951679,52.3702157,negative
665,77.1464267,28.6535957,positive
666,-1.5490774,53.8007554,neutral
670,-1.829833,52.4750743,negative
672,-2.977255,51.347405,positive
673,4.3570677,52.0115769,positive
676,-71.1286194,41.7695425,positive
677,-58.3669739,-34.6610756,positive
678,-0.570409,51.23622,neutral
679,-114.0708459,51.0486151,neutral
682,-0.1277583,51.5073509,positive
683,-3.435973,55.378051,positive
684,-2.58791,51.454513,positive
686,-2.752708,54.664097,negative
687,35.9283716,31.9453666,negative
688,4.8951679,52.3702157,positive
696,-6.2603097,53.3498053,neutral
697,-0.3794348,50.8173133,positive
698,-76.2177046,43.106456,negative
703,-116.5765035,53.9332706,negative
704,-3.17909,51.481581,positive
706,0.418397,51.627903,positive
707,-4.2026458,56.4906712,neutral
709,-0.7737919,52.0344948,positive
710,13.404954,52.5200066,positive
713,-1.1743197,52.3555177,positive
714,-112.0740373,33.4483771,positive
716,-80.1373174,26.1224386,positive
718,-0.0238644,51.5074791,positive
722,2.3522219,48.856614,positive
724,-4.50452,55.908622,neutral
728,-119.4179324,36.778261,positive
729,-1.603411,54.95268,positive
731,-2.652147,53.789954,positive
733,-5.9591102,54.6792422,positive
736,0.2494235,50.908596,positive
738,-6.2603097,53.3498053,positive
740,-1.1743197,52.3555177,positive
744,-1.5503725,53.8002772,negative
745,4.494025,52.060669,positive
747,-84.3879824,33.7489954,negative
749,-3.435973,55.378051,positive
750,-0.7594171,52.0406224,positive
752,11.5819805,48.1351253,negative
753,-2.7044052,53.7632254,positive
754,-2.2426305,53.4807593,negative
755,-3.188267,55.953252,positive
758,-2.1266325,53.3933102,negative
759,-0.1277583,51.5073509,negative
760,-1.0872979,53.9599651,positive
763,-1.541812,53.99212,positive
766,-46.6333094,-23.5505199,negative
767,-58.3815591,-34.6036844,neutral
769,18.8432656,-34.0756899,positive
772,-2.179404,53.002668,positive
773,-2.2426305,53.4807593,neutral
778,-3.106849,51.015344,negative
779,-0.1277583,51.5073509,positive
781,-123.1815123,49.1966913,positive
782,-7.5936714,54.7097899,positive
785,-111.8314724,33.4151843,positive
787,-3.0517722,56.1875069,positive
788,5.1214201,52.0907374,positive
794,-0.1277583,51.5073509,positive
795,-0.1277583,51.5073509,positive
796,-87.208089,30.509488,positive
797,36.8219462,-1.2920659,negative
802,9.9936819,53.5510846,positive
805,103.819836,1.352083,positive
807,-0.1277583,51.5073509,negative
809,4.8951679,52.3702157,negative
810,55.2707828,25.2048493,positive
812,-3.435973,55.378051,negative
813,5.291266,52.132633,positive
814,-0.9936306,53.100319,positive
815,-3.435973,55.378051,positive
816,7.7521113,48.5734053,positive
825,5.291266,52.132633,neutral
827,-113.4909267,53.544389,neutral
828,138.6007456,-34.9284989,positive
829,-80.0910975,26.6882884,neutral
833,1.167599,43.6618599,negative
834,-63.2326763,17.6354642,positive
836,-0.1277583,51.5073509,neutral
837,-0.1277583,51.5073509,positive
839,-3.435973,55.378051,negative
842,0.488736,51.576084,positive
849,-0.1820629,51.1536621,neutral
853,-0.1277583,51.5073509,positive
855,-0.1601246,52.9451889,positive
856,-3.982299,47.857061,positive
857,4.3517211,50.8503463,positive
858,-6.4923145,54.7877149,positive
859,-106.4508639,52.9399159,negative
864,-73.9811366,40.5731737,positive
865,-93.7578925,36.4799712,positive
866,-105.5108312,39.9613759,positive
867,4.8951679,52.3702157,negative
869,-6.1260744,36.6850064,neutral
870,4.3871779,45.439695,positive
872,6.5665017,53.2193835,positive
873,-0.1361269,51.5119312,positive
874,-0.748229,51.628611,negative
875,10.451526,51.165691,positive
877,-2.094278,57.149717,positive
880,-3.3821421,51.6858341,positive
881,-0.902656,52.240477,positive
882,-1.2577263,51.7520209,positive
885,-91.732649,41.554671,positive
887,28.9783589,41.0082376,neutral
888,-95.3698028,29.7604267,neutral
889,-2.229409,53.328,positive
890,-2.58791,51.454513,negative
891,36.8219462,-1.2920659,positive
895,1.5208624,41.5911589,neutral
896,-0.7594171,52.0406224,negative
899,4.8951679,52.3702157,negative
900,-0.098234,51.376165,positive
901,-0.003371,51.5501741,neutral
905,5.291266,52.132633,positive
910,0.1218195,52.2052973,negative
911,-1.1743197,52.3555177,positive
912,2.3522219,48.856614,positive
914,4.8951679,52.3702157,positive
915,-1.5490774,53.8007554,negative
916,12.5695158,44.0678288,positive
919,-2.2426305,53.4807593,neutral
921,-47.8644715,-15.7997654,negative
922,19.8013773,45.0029171,negative
924,-0.1277583,51.5073509,neutral
925,-0.1277583,51.5073509,neutral
930,-77.4360481,37.5407246,positive
936,-2.70309,53.763201,positive
939,-99.9018131,31.9685988,positive
940,114.109497,22.396428,negative
941,-97.4286988,37.6508529,negative
942,-79.6889835,43.6337007,negative
945,7.3246534,4.5202506,positive
946,25.7481511,61.92411,positive
947,-0.7594171,52.0406224,positive
949,-77.0368707,38.9071923,positive
950,-1.880769,50.719164,negative
952,24.1051865,56.9496487,positive
954,-82.1887444,36.5951059,positive
956,-0.3037422,51.495698,positive
958,-0.1277583,51.5073509,negative
961,153.0251235,-27.4697707,positive
967,-2.393083,53.871098,positive
968,-0.028177,51.810437,neutral
969,-0.5599501,51.3147593,positive
970,55.2707828,25.2048493,neutral
975,77.2090212,28.6139391,neutral
976,-0.1277583,51.5073509,neutral
977,2.3522219,48.856614,neutral
978,2.1734035,41.3850639,positive
979,5.7817542,53.1641642,negative
981,-1.5490774,53.8007554,positive
984,-73.9888854,40.7526431,negative
986,153.026695,-27.467671,negative
987,-3.7837117,52.1306607,negative
988,-0.1277583,51.5073509,neutral
989,-1.4043509,50.9097004,positive
992,-1.578877,53.681091,positive
995,121.774017,12.879721,neutral
999,4.8951679,52.3702157,positive
1005,101.975766,4.210484,positive
1007,-0.1277583,51.5073509,positive
1011,5.291266,52.132633,neutral
1012,-2.2426305,53.4807593,positive
1014,-0.0947824,51.4882615,positive
1031,13.404954,52.5200066,negative
1032,4.8951679,52.3702157,negative
1033,-2.214115,53.394361,neutral
1035,-2.9915726,53.4083714,neutral
1036,4.7682744,52.3105386,neutral
1037,-0.1820629,51.1536621,negative
1038,4.6462194,52.3873878,neutral
1039,-5.93012,54.597285,positive
1042,4.7011582,52.6000367,positive
1043,5.4294692,52.1317932,negative
1046,-3.435973,55.378051,negative
1047,4.8951679,52.3702157,positive
1048,-4.2026458,56.4906712,positive
1054,-0.1277583,51.5073509,negative
1063,-0.1277583,51.5073509,positive
1064,-2.9915726,53.4083714,neutral
1066,-0.1277583,51.5073509,negative
1068,-75.181531,40.998128,positive
1070,-4.224721,57.477773,neutral
1072,-70.6672621,41.9584457,positive
1074,-4.224721,57.477773,positive
1077,8.6724335,49.3987524,negative
1078,-2.4438209,53.100405,positive
1079,-0.1277583,51.5073509,neutral
1080,-2.2380335,51.8642112,neutral
1081,-23.0418,16.5388,positive
1084,-98.4170523,29.5170728,negative
1085,-2.2426305,53.4807593,negative
1086,8.541694,47.3768866,negative
1087,-0.7769422,51.5719443,negative
1089,-1.470085,53.381129,negative
1090,-0.339436,51.752725,negative
1093,-1.1743197,52.3555177,negative
1095,-8.1096143,54.653827,positive
1097,-3.435973,55.378051,positive
1099,-0.1277583,51.5073509,positive
1100,-3.17909,51.481581,negative
1103,-0.1277583,51.5073509,neutral
1105,-3.435973,55.378051,positive
1107,-77.4477662,38.7931699,neutral
1109,-0.1277583,51.5073509,negative
1112,18.49041,-22.95764,neutral
1115,-1.1743197,52.3555177,negative
1118,0.522699,51.270363,negative
1121,79.0927484,21.1041576,negative
1122,-1.1397592,52.6368778,positive
1123,-1.5740888,54.8591161,negative
1124,-3.528926,54.480973,positive
1125,-0.1277583,51.5073509,positive
1126,-2.58791,51.454513,neutral
1130,-0.4705855,51.7381758,negative
1132,12.5493261,55.6751812,positive
1137,-83.6918284,33.6043603,positive
1138,-2.992494,53.04304,positive
1139,-1.304734,50.6938479,negative
1140,13.404954,52.5200066,negative
1144,-0.1277583,51.5073509,positive
1148,151.2092955,-33.8688197,neutral
1151,-83.68722,43.013235,negative
1155,-102.4107493,34.2331373,negative
1159,-3.1495175,56.2082078,positive
1162,-0.1277583,51.5073509,neutral
1163,-6.2603097,53.3498053,positive
1166,-0.4687516,52.4808407,neutral
1167,-3.051335,56.195578,positive
1168,-0.1277583,51.5073509,negative
1169,-0.0657389,51.6032123,negative
1170,-0.1277583,51.5073509,positive
1171,-5.8236224,54.8578003,positive
1174,-4.2026458,56.4906712,negative
1175,-3.435973,55.378051,positive
1176,0.121817,52.205337,positive
1182,-2.2426305,53.4807593,positive
1186,14.2681244,40.8517746,positive
1187,-2.598802,53.831915,neutral
1188,-0.1277583,51.5073509,negative
1189,-3.435973,55.378051,positive
1192,-3.435973,55.378051,positive
1193,-3.188267,55.953252,neutral
1194,0.671448,51.731805,positive
1196,4.8951679,52.3702157,neutral
1197,-78.898619,35.9940329,negative
1198,-0.1277583,51.5073509,positive
1200,-1.49658,50.98893,positive
1201,-3.073754,53.3727181,positive
1202,-0.1277583,51.5073509,negative
1204,-3.435973,55.378051,negative
1205,-5.93012,54.597285,positive
1206,-1.1743197,52.3555177,positive
1209,-4.21643,50.40921,positive
1211,-1.829833,52.4750743,positive
1218,-3.435973,55.378051,negative
1220,-84.2619169,33.969435,positive
1221,11.7750279,48.3536621,neutral
1224,10.451526,51.165691,negative
1225,-95.8846613,36.0742989,positive
1229,-88.1535352,41.7508391,neutral
1230,-1.584852,54.77525,positive
1237,-0.1277583,51.5073509,positive
1238,-0.1277583,51.5073509,negative
1239,-0.2940145,51.4168253,positive
1241,-0.1277583,51.5073509,negative
1242,-74.0059728,40.7127753,positive
1243,-0.1277583,51.5073509,negative
1245,-0.5599501,51.3147593,negative
1247,-75.9268747,40.3356483,positive
1248,-1.1743197,52.3555177,positive
1249,-1.212926,54.691745,neutral
1251,-1.470085,53.381129,positive
1252,51.5310398,25.2854473,neutral
1253,103.846656,46.862496,negative
1255,6.1319346,49.611621,positive
1257,-4.251806,55.864237,positive
1260,-1.1397592,52.6368778,negative
1265,-2.58791,51.454513,positive
1271,-1.4043509,50.9097004,positive
1274,-0.655879,51.796078,neutral
1275,-3.188267,55.953252,positive
1282,-0.1277583,51.5073509,negative
1287,-3.435973,55.378051,negative
1290,-2.2426305,53.4807593,neutral
1291,-4.6696364,55.6115669,positive
1292,-5.93012,54.597285,negative
1293,-0.4666565,52.1359735,positive
1295,-115.0433581,36.0672534,positive
1318,-93.2650108,44.977753,negative
1324,-0.1520968,51.8386309,negative
1327,21.824312,39.074208,positive
1329,-1.519693,52.406822,neutral
1333,-0.283414,51.94921,negative
1335,13.404954,52.5200066,neutral
1337,-2.893075,53.193392,positive
1339,-93.8734936,32.600102,positive
1340,0.814539,51.628347,negative
1344,-5.93012,54.597285,neutral
1347,-1.2577263,51.7520209,positive
1353,-6.4923145,54.7877149,positive
1356,-0.3978862,51.4368473,negative
1358,-8.224454,39.399872,positive
